,raw_freq,MI,Col
9664,1,2.0084240544445553,benchland
3536,1,2.0084240544445553,allowed
305,1,2.0084240544445553,Penedès
6113,1,2.0084240544445553,submerges
9482,1,2.0084240544445553,Classico
8718,1,2.0084240544445553,Leap
5821,1,2.0084240544445553,panoply
8337,1,2.0084240544445553,Béatrice
11214,1,2.0084240544445553,juiced
1764,1,2.0084240544445553,Dynamic
3395,1,2.0084240544445553,acquiring
10759,2,2.0084240544445553,chili
8477,1,2.0084240544445553,frail
6040,1,2.0084240544445553,Grilos
2317,1,2.0084240544445553,Douglas
3848,1,2.0084240544445553,Granite
5640,1,2.0084240544445553,perfumey
1486,1,2.0084240544445553,Firehouse
1616,1,2.0084240544445553,commingling
6209,1,2.0084240544445553,AOP
8123,1,2.0084240544445553,Chock
8251,2,2.0084240544445553,triumph
4221,2,2.0084240544445553,Aussies
6425,1,2.0084240544445553,Brittany
9816,1,2.0084240544445553,Metodo
11035,1,2.0084240544445553,Blistered
5381,1,2.0084240544445553,classified
2219,1,2.0084240544445553,Losada
3655,1,2.0084240544445553,Rui
9517,1,2.0084240544445553,Luminous
3223,1,2.0084240544445553,Bootjack
8614,2,2.0084240544445553,incorporating
7784,1,2.0084240544445553,entanglements
145,1,2.0084240544445553,Rossola
331,1,2.0084240544445553,Stags
2429,1,2.0084240544445553,Strait
6183,1,2.0084240544445553,Vittoria
6720,1,2.0084240544445553,Mellowed
6323,1,2.0084240544445553,andcrushed
1030,1,2.0084240544445553,bucco
3479,1,2.0084240544445553,positives
1868,1,2.0084240544445553,bricks
3088,2,2.0084240544445553,Meritage
8595,1,2.0084240544445553,screwtop
1260,1,2.0084240544445553,breathtakingly
6968,1,2.0084240544445553,Buoyant
9349,1,2.0084240544445553,orchestrated
1514,1,2.0084240544445553,deliveing
8282,1,2.0084240544445553,Sassy
5357,2,1.6029589463363911,Mixed
7867,2,1.6029589463363911,Serbian
3589,2,1.6029589463363911,conveying
3150,1,1.3152768738846101,Sirica
5337,1,1.3152768738846101,Translucent
8664,1,1.3152768738846101,Colin
8323,1,1.3152768738846101,Incrocio
7518,1,1.3152768738846101,Get
8350,1,1.3152768738846101,forcefully
8356,1,1.3152768738846101,Sankt
4716,1,1.3152768738846101,haystack
7453,1,1.3152768738846101,calibrates
5007,1,1.3152768738846101,tangle
679,1,1.3152768738846101,Murphy
7760,1,1.3152768738846101,Apricots
11153,1,1.3152768738846101,Rara
7507,1,1.3152768738846101,Gradually
10352,1,1.3152768738846101,rosato
9678,1,1.3152768738846101,matching
213,1,1.3152768738846101,elderberries
5867,2,1.3152768738846101,Fairly
9146,1,1.3152768738846101,embraces
4372,1,1.3152768738846101,tighter
7200,1,1.3152768738846101,involved
9434,1,1.3152768738846101,sparks
8048,1,1.3152768738846101,Marked
6834,1,1.3152768738846101,Brighter
6886,1,1.3152768738846101,Manzoni
8142,1,1.3152768738846101,Kick
2019,1,1.3152768738846101,television
3217,1,1.3152768738846101,magnificently
7614,1,1.3152768738846101,upholding
9932,1,1.3152768738846101,Twizzler
8735,1,1.3152768738846101,pours
11361,2,1.3152768738846101,Sierra
8759,1,1.3152768738846101,Many
9974,1,1.3152768738846101,Sultry
595,2,1.3152768738846101,Kosher
4970,1,1.3152768738846101,unspecified
9323,1,1.3152768738846101,Neagra
2927,1,1.3152768738846101,crunches
3695,2,1.3152768738846101,Bulgaria
6768,1,1.3152768738846101,Private
10959,1,1.3152768738846101,wrought
11259,1,1.3152768738846101,beach
3894,1,1.3152768738846101,Balsamic
3723,4,1.197493838228227,informal
7627,2,1.0921333225704006,sustained
3976,2,1.0921333225704006,Crunchy
10050,6,1.0921333225704006,resemble
2169,2,1.0921333225704006,comprised
3983,2,1.0921333225704006,counterpart
10274,5,0.9788046372633973,Nebbiolo
4371,1,0.9098117657764458,esteemed
7580,1,0.9098117657764458,cheerful
1768,1,0.9098117657764458,offsetting
9958,1,0.9098117657764458,represented
2307,1,0.9098117657764458,Gravel
10776,1,0.9098117657764458,uncrushed
6793,1,0.9098117657764458,foil
7303,1,0.9098117657764458,basil
6373,1,0.9098117657764458,Modest
8081,1,0.9098117657764458,Moldova
3957,1,0.9098117657764458,combined
6512,2,0.9098117657764458,expands
5927,2,0.9098117657764458,Streaks
7661,1,0.9098117657764458,epitomizes
5073,1,0.9098117657764458,Quick
1378,1,0.9098117657764458,Unusual
9828,1,0.9098117657764458,puckery
2176,1,0.9098117657764458,decorate
2647,1,0.9098117657764458,revel
8095,1,0.9098117657764458,anchors
7568,1,0.9098117657764458,Chambourcin
3908,1,0.9098117657764458,Hearty
11076,1,0.9098117657764458,imbued
3946,1,0.9098117657764458,fruitfulness
6426,1,0.9098117657764458,Engaging
4073,1,0.9098117657764458,seams
5233,1,0.9098117657764458,biggest
6335,1,0.9098117657764458,Lusciously
1092,1,0.9098117657764458,enriched
2114,1,0.9098117657764458,masked
4653,1,0.9098117657764458,downright
9212,1,0.9098117657764458,Island
10328,1,0.9098117657764458,Edna
8972,1,0.9098117657764458,satisfies
4568,1,0.9098117657764458,Knights
6406,1,0.9098117657764458,softest
292,1,0.9098117657764458,straddles
3038,2,0.9098117657764458,Wonderfully
925,2,0.7556610859491876,complementing
8331,2,0.7556610859491876,possibility
8008,3,0.7091410703142947,Crushed
10458,3,0.622129693324665,Fragrant
1038,1,0.6221296933246648,pairs
7089,1,0.6221296933246648,turmeric
9122,1,0.6221296933246648,appearing
6135,1,0.6221296933246648,smartly
8421,1,0.6221296933246648,atypical
4474,1,0.6221296933246648,ruddy
9108,2,0.6221296933246648,moves
4606,2,0.6221296933246648,redolent
2576,1,0.6221296933246648,distant
8276,1,0.6221296933246648,Brown
1704,1,0.6221296933246648,Gatos
5480,1,0.6221296933246648,forming
9377,1,0.6221296933246648,Serbia
5934,2,0.6221296933246648,mesh
7870,1,0.6221296933246648,augmented
5192,1,0.6221296933246648,spritzer
9310,2,0.6221296933246648,driving
10046,1,0.6221296933246648,demanding
2409,1,0.6221296933246648,belies
